iter	Passed	Remaining
0	140	140650
1	144	71910
2	147	48934
3	150	37416
4	153	30525
5	156	25903
6	159	22614
7	162	20151
8	165	18230
9	168	16683
10	171	15413
11	174	14392
12	177	13513
13	180	12732
14	183	12047
15	186	11442
16	187	10866
17	189	10352
18	191	9888
19	193	9474
20	194	9082
21	196	8727
22	197	8400
23	199	8098
24	200	7813
25	201	7549
26	202	7306
27	203	7080
28	205	6869
29	206	6668
30	207	6478
31	208	6301
32	209	6134
33	210	5977
34	211	5830
35	212	5685
36	213	5548
37	213	5417
38	214	5292
39	215	5174
40	216	5062
41	217	4955
42	218	4853
43	218	4754
44	219	4660
45	220	4569
46	221	4482
47	221	4399
48	222	4318
49	223	4241
50	223	4166
51	224	4095
52	225	4026
53	226	3960
54	226	3896
55	227	3834
56	228	3775
57	228	3717
58	229	3662
59	230	3609
60	231	3557
61	231	3506
62	232	3457
63	233	3410
64	233	3364
65	234	3320
66	235	3277
67	235	3231
68	236	3190
69	237	3151
70	238	3114
71	238	3077
72	239	3041
73	240	3005
74	240	2971
75	241	2937
76	242	2905
77	243	2873
78	243	2842
79	244	2811
80	245	2782
81	245	2752
82	246	2724
83	247	2697
84	247	2667
85	248	2641
86	249	2613
87	249	2588
88	250	2564
89	251	2540
90	251	2516
91	252	2493
92	253	2471
93	254	2449
94	254	2427
95	255	2406
96	256	2385
97	256	2364
98	257	2345
99	258	2325
100	259	2306
101	259	2285
102	260	2266
103	261	2248
104	261	2231
105	262	2213
106	263	2196
107	263	2179
108	264	2163
109	265	2147
110	266	2131
111	266	2115
112	267	2099
113	268	2084
114	268	2070
115	269	2054
116	270	2039
117	270	2025
118	271	2010
119	272	1996
120	273	1983
121	273	1969
122	274	1954
123	274	1941
124	275	1928
125	276	1915
126	276	1903
127	277	1889
128	278	1877
129	278	1866
130	279	1854
131	280	1843
132	281	1832
133	281	1820
134	282	1809
135	283	1799
136	283	1788
137	284	1777
138	285	1767
139	285	1756
140	286	1746
141	287	1736
142	288	1726
143	288	1716
144	289	1707
145	290	1698
146	291	1689
147	291	1680
148	292	1671
149	293	1662
150	294	1653
151	294	1644
152	295	1636
153	296	1627
154	296	1618
155	297	1610
156	298	1601
157	298	1593
158	299	1585
159	300	1577
160	301	1569
161	301	1561
162	302	1553
163	303	1546
164	304	1538
165	304	1531
166	305	1523
167	306	1516
168	306	1509
169	307	1502
170	308	1495
171	309	1488
172	309	1481
173	310	1474
174	311	1467
175	312	1460
176	312	1454
177	313	1447
178	314	1441
179	314	1434
180	315	1426
181	315	1419
182	316	1413
183	317	1407
184	318	1401
185	319	1396
186	320	1392
187	321	1387
188	322	1382
189	322	1376
190	323	1370
191	324	1365
192	325	1359
193	325	1353
194	326	1348
195	327	1342
196	328	1337
197	328	1331
198	329	1326
199	330	1320
200	330	1315
201	331	1310
202	332	1305
203	333	1300
204	333	1294
205	334	1289
206	335	1284
