iter	Passed	Remaining
0	150	150245
1	157	78622
2	161	53587
3	164	41059
4	172	34385
5	176	29227
6	180	25546
7	186	23182
8	190	21000
9	194	19263
10	203	18256
11	207	17081
12	213	16198
13	216	15253
14	218	14377
15	221	13593
16	223	12916
17	225	12289
18	228	11817
19	230	11314
20	232	10829
21	233	10388
22	235	10004
23	237	9639
24	238	9289
25	239	8964
26	241	8720
27	243	8462
28	245	8204
29	246	7972
30	247	7749
31	249	7535
32	250	7331
33	251	7135
34	252	6950
35	253	6777
36	254	6622
37	257	6523
38	258	6380
39	260	6247
40	261	6121
41	263	6002
42	264	5878
43	265	5760
44	266	5646
45	267	5545
46	268	5448
47	271	5376
48	272	5291
49	274	5212
50	275	5128
51	276	5042
52	277	4958
53	278	4878
54	279	4801
55	280	4731
56	281	4661
57	282	4593
58	285	4550
59	287	4502
60	289	4449
61	290	4389
62	291	4330
63	292	4272
64	293	4221
65	294	4168
66	295	4118
67	296	4069
68	297	4020
69	300	3998
70	302	3954
71	303	3913
72	304	3872
73	306	3830
74	307	3793
75	309	3759
76	310	3718
77	311	3677
78	312	3638
79	313	3601
80	316	3589
81	317	3557
82	318	3519
83	319	3484
84	320	3453
85	321	3419
86	322	3386
87	323	3355
88	324	3324
89	325	3294
90	327	3268
91	328	3244
92	331	3231
93	332	3204
94	334	3185
95	335	3159
96	336	3133
97	337	3106
98	338	3081
99	339	3055
100	340	3034
101	342	3012
102	343	2989
103	345	2979
104	347	2962
105	348	2941
106	349	2920
107	351	2902
108	352	2882
109	354	2864
110	355	2844
111	356	2823
112	357	2803
113	358	2783
114	361	2782
115	363	2768
116	364	2748
117	365	2728
118	366	2709
119	367	2693
120	368	2677
121	369	2658
122	370	2641
123	371	2623
124	372	2606
125	373	2590
126	375	2582
127	377	2569
128	378	2555
129	380	2543
130	381	2528
131	382	2514
132	383	2498
133	384	2483
134	385	2469
135	387	2459
136	390	2461
137	391	2448
138	393	2438
139	395	2426
140	396	2413
141	396	2398
142	398	2387
143	400	2378
144	401	2366
145	402	2355
146	405	2350
147	406	2339
148	407	2326
149	408	2314
150	409	2302
151	410	2290
152	411	2279
153	412	2267
154	413	2256
155	415	2245
156	416	2235
157	419	2236
158	420	2225
159	421	2214
160	422	2201
161	423	2191
162	424	2181
163	425	2170
164	426	2159
165	427	2149
166	428	2138
167	429	2128
168	430	2118
169	433	2116
170	434	2107
171	435	2097
172	436	2088
173	437	2078
174	438	2069
175	439	2059
176	440	2049
177	441	2040
178	442	2030
179	444	2022
180	445	2014
181	446	2004
182	448	2003
183	450	1996
184	451	1987
185	452	1978
186	453	1970
187	454	1961
188	455	1953
189	456	1944
190	457	1936
191	458	1929
192	459	1921
193	460	1912
194	461	1905
195	464	1904
196	465	1897
197	466	1889
198	467	1881
199	468	1873
200	469	1865
201	470	1858
202	471	1850
203	472	1843
204	473	1835
205	474	1828
206	475	1821
207	478	1821
208	479	1815
209	480	1808
210	481	1801
211	482	1794
212	483	1787
213	484	1781
214	485	1774
215	486	1767
216	487	1760
217	488	1753
218	489	1746
219	490	1739
220	493	1738
221	494	1734
222	495	1728
223	497	1722
224	498	1716
225	499	1710
226	500	1704
227	501	1698
228	502	1692
229	503	1686
230	504	1680
231	505	1674
232	508	1673
233	509	1668
234	510	1662
235	512	1657
236	513	1651
237	514	1645
238	515	1639
239	516	1634
240	516	1628
241	518	1623
242	519	1618
243	520	1613
244	524	1615
245	525	1611
246	526	1606
247	528	1601
248	529	1595
249	531	1594
250	532	1590
251	534	1585
252	535	1581
253	538	1580
254	539	1576
255	541	1572
256	542	1567
257	543	1563
258	545	1559
259	546	1554
260	547	1550
261	548	1546
262	550	1542
263	554	1545
264	555	1540
265	556	1536
266	558	1533
267	559	1528
268	561	1524
269	562	1520
270	563	1516
271	565	1512
272	568	1514
273	569	1509
274	570	1504
275	572	1500
276	573	1496
277	575	1493
278	577	1491
279	578	1487
280	579	1483
281	582	1482
282	584	1481
283	585	1476
284	586	1472
285	587	1467
286	589	1463
287	590	1459
288	591	1455
289	592	1451
290	593	1446
291	594	1442
292	597	1442
293	599	1438
294	600	1434
295	601	1430
296	602	1426
297	603	1422
298	605	1419
299	606	1416
300	608	1413
301	609	1408
302	612	1409
303	614	1406
304	615	1402
305	616	1398
306	618	1395
307	619	1392
308	620	1387
309	621	1383
310	622	1378
311	623	1374
312	624	1369
313	627	1369
314	628	1367
315	629	1363
316	631	1360
317	632	1356
318	633	1352
319	634	1348
320	635	1343
321	636	1339
322	637	1336
323	638	1332
324	641	1332
325	643	1330
326	645	1327
327	646	1324
328	647	1321
329	648	1317
330	649	1313
331	651	1310
332	652	1306
333	653	1302
334	654	1299
335	658	1300
336	659	1297
337	660	1293
338	661	1290
339	662	1286
340	664	1284
341	666	1282
342	667	1279
343	668	1275
344	673	1278
345	675	1276
346	676	1272
347	678	1270
348	679	1266
349	681	1265
350	682	1261
351	683	1257
352	687	1259
353	689	1258
354	691	1256
355	692	1253
356	694	1250
357	695	1247
358	696	1244
359	698	1242
360	701	1242
361	705	1243
362	706	1240
363	708	1237
364	709	1233
365	710	1230
366	711	1227
367	713	1224
368	714	1221
369	717	1222
370	719	1219
371	720	1216
372	721	1213
373	723	1210
374	724	1207
375	726	1204
376	730	1206
377	733	1206
378	734	1203
379	736	1201
380	737	1197
381	738	1194
382	739	1191
383	740	1188
384	742	1185
385	745	1185
386	747	1184
387	749	1181
388	750	1178
389	751	1175
390	753	1172
391	759	1177
392	761	1175
393	763	1174
394	764	1171
395	766	1168
396	767	1166
397	769	1163
398	772	1163
399	774	1162
400	776	1159
401	777	1156
402	778	1153
403	779	1150
404	780	1146
405	781	1143
